name,description,price,currency,sku,size,size_unit,weight,weight_unit,color,material,model,is_fragile,is_perishable,requires_special_handling,min_order_quantity,max_order_quantity,is_active,item_sub_category_id,brand_id,business_location_name,quantity,reserved_quantity,reorder_point,reorder_quantity,unit_cost,selling_price,image_url,image_alt_text,image_caption
Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation,89.99,USD,WBH-001,18,cm,250,g,Black,Plastic,AudioPro,false,false,false,1,100,true,1,,Main Warehouse,45,3,10,20,45.00,89.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,Wireless headphones,Professional wireless headphones
Ergonomic Office Chair,Adjustable office chair with lumbar support,299.99,USD,EOC-001,120,cm,8500,g,Black,Mesh,FlexComfort,false,false,false,1,25,true,1,,Main Warehouse,15,1,3,5,180.00,299.99,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800,Ergonomic office chair,Comfortable office chair
Mechanical Gaming Keyboard,RGB mechanical keyboard with customizable switches,129.99,USD,MGK-001,35,cm,950,g,Black,Aluminum,GameMaster,false,false,false,1,50,true,1,,Main Warehouse,30,2,5,10,75.00,129.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=800,Gaming keyboard,RGB mechanical gaming keyboard
Portable Bluetooth Speaker,Waterproof portable speaker with 20-hour battery,79.99,USD,PBS-001,15,cm,800,g,Blue,Plastic,SoundWave,false,false,false,1,75,true,1,,Main Warehouse,40,2,8,15,45.00,79.99,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800,Bluetooth speaker,Portable waterproof speaker
Standing Desk Converter,Adjustable standing desk converter for health,199.99,USD,SDC-001,120,cm,12000,g,White,Metal,StandUp,false,false,false,1,30,true,1,,Main Warehouse,20,1,4,8,120.00,199.99,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800,Standing desk,Adjustable standing desk converter
Wireless Mouse,Precision wireless mouse with ergonomic design,39.99,USD,WM-002,12,cm,120,g,Silver,Metal,PrecisionPro,false,false,false,1,150,true,1,,Main Warehouse,80,76,4,15,25,22.00,39.99,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800,Wireless mouse,Ergonomic wireless mouse
Monitor Stand,Adjustable monitor stand for dual screens,89.99,USD,MS-001,60,cm,2500,g,Black,Metal,DualView,false,false,false,1,40,true,1,,Main Warehouse,25,24,1,5,10,50.00,89.99,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800,Monitor stand,Adjustable monitor stand
USB-C Hub,7-in-1 USB-C hub with HDMI and SD card reader,49.99,USD,UCH-001,8,cm,150,g,Space Gray,Aluminum,ConnectPro,false,false,false,1,100,true,1,,Main Warehouse,60,57,3,10,20,28.00,49.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=800,USB-C hub,7-in-1 USB-C hub
Desk Lamp,LED desk lamp with adjustable brightness,59.99,USD,DL-001,45,cm,1200,g,White,Metal,BrightMax,false,false,false,1,80,true,1,,Main Warehouse,50,48,2,8,15,32.00,59.99,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=800,Desk lamp,LED desk lamp
Laptop Cooling Pad,USB-powered laptop cooling pad with fans,29.99,USD,LCP-001,35,cm,800,g,Black,Plastic,CoolMax,false,false,false,1,120,true,1,,Main Warehouse,70,67,3,12,20,16.00,29.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=800,Laptop cooling pad,Cooling pad for laptops
Cable Organizer,Desk cable organizer with clips and ties,19.99,USD,CO-001,30,cm,200,g,Black,Plastic,CableTidy,false,false,false,1,200,true,1,,Main Warehouse,120,115,5,20,30,10.00,19.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=800,Cable organizer,Cable management organizer
Webcam,4K webcam with built-in microphone,149.99,USD,WC-001,8,cm,180,g,Black,Plastic,StreamPro,false,false,false,1,60,true,1,,Main Warehouse,35,33,2,6,12,85.00,149.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,Webcam,4K webcam with microphone
Document Scanner,Portable document scanner with OCR,199.99,USD,DS-001,25,cm,1500,g,White,Plastic,ScanPro,false,false,false,1,35,true,1,,Main Warehouse,20,1,4,8,120.00,199.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=800,Document scanner,Portable scanner
Wireless Charger,Qi wireless charging pad for phones,39.99,USD,WC-002,10,cm,150,g,White,Plastic,ChargePad,false,false,false,1,100,true,1,,Main Warehouse,65,62,3,10,20,22.00,39.99,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800,Wireless charger,Qi wireless charging pad
Monitor Arm,Adjustable monitor arm for single screen,79.99,USD,MA-001,80,cm,3000,g,Black,Metal,AdjustArm,false,false,false,1,45,true,1,,Main Warehouse,30,29,1,5,10,45.00,79.99,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800,Monitor arm,Adjustable monitor arm
